,masa_A,
t,r,Î¸r
67,18.16,-20.5
83,18.17,-20.5
0.1,18.16,-20.5
117,18.17,-20.5
133,18.17,-20.6
0.15,18.16,-20.5
167,18.17,-20.5
183,18.16,-20.5
0.2,18.15,-20.5
217,18.15,-20.5
233,18.16,-20.5
0.25,18.15,-20.5
267,18.14,-20.5
283,18.14,-20.5
0.3,18.17,-20.4
317,18.15,-20.4
333,18.14,-20.4
0.35,18.15,-20.3
367,18.12,-20.3
383,18.12,-20.3
0.4,18.12,-20.3
417,18.12,-20.3
433,18.13,-20.3
0.45,18.14,-20.4
467,18.15,-20.4
483,18.16,-20.4
0.5,18.16,-20.4
517,18.17,-20.4
533,18.17,-20.4
0.55,18.16,-20.4
567,18.16,-20.4
583,18.15,-20.4
0.6,18.15,-20.4
617,18.14,-20.3
633,18.14,-20.3
0.65,18.13,-20.3
667,18.13,-20.3
683,18.13,-20.3
0.7,18.11,-20.3
717,18.12,-20.3
733,18.12,-20.3
0.75,18.12,-20.3
767,18.12,-20.3
783,18.12,-20.3
0.8,18.13,-20.3
817,18.13,-20.3
833,18.13,-20.3
0.85,18.14,-20.3
867,18.14,-20.3
883,18.14,-20.4
0.9,18.15,-20.4
917,18.13,-20.3
933,18.14,-20.3
0.95,18.14,-20.3
967,18.15,-20.4
983,18.15,-20.4
1,18.16,-20.4
1.017,18.15,-20.4
1.033,18.15,-20.4
01.05,18.17,-20.3
1.067,18.22,-20
1.083,18.28,-19.7
1.1,18.31,-19
1.117,18.35,-18.1
1.133,18.34,-16.9
1.15,18.34,-15.3
1.167,18.31,-13.5
1.183,18.32,-11.5
1.2,18.34,-9.4
1.217,18.31,-7.1
1.233,18.25,-4.7
1.25,18.22,-2.2
1.267,18.18,0.3
1.283,18.16,2.7
1.3,18.13,5.1
1.317,18.08,7.3
1.333,18.03,9.4
1.35,18,11.2
1.368,17.97,12.9
1.385,17.95,14.3
1.402,17.93,15.3
1.418,17.91,16.2
1.435,17.89,16.5
1.452,17.9,16.6
1.468,17.91,16.4
1.485,17.88,15.8
1.502,17.91,14.9
1.518,17.93,13.6
1.535,17.97,12.1
1.552,17.98,10.3
1.568,18.03,8.3
1.585,18.05,6.2
1.602,18.1,4
1.618,18.15,1.6
1.635,18.17,-0.9
1.652,18.19,-3.3
1.668,18.22,-5.6
1.685,18.26,-7.9
1.702,18.28,-10
1.718,18.3,-12
1.735,18.33,-13.7
1.752,18.34,-15.3
1.768,18.38,-16.6
1.785,18.36,-17.6
1.802,18.37,-18.3
1.818,18.37,-18.7
1.835,18.37,-18.8
1.852,18.37,-18.6
1.868,18.37,-18
1.885,18.36,-17.2
1.902,18.34,-16.1
1.918,18.34,-14.8
1.935,18.32,-13.1
1.952,18.29,-11.3
1.968,18.28,-9.3
1.985,18.26,-7.1
2.002,18.24,-5
2.018,18.21,-2.6
2.035,18.15,-0.3
2.052,18.14,2.1
2.068,18.09,4.3
2.085,18.06,6.5
2.102,18.04,8.5
2.118,18.01,10.3
2.135,17.98,12
2.152,17.95,13.3
2.168,17.95,14.5
2.185,17.91,15.2
2.202,17.89,15.7
2.218,17.89,15.9
2.235,17.88,15.7
2.252,17.89,15.2
2.268,17.9,14.4
2.285,17.93,13.3
2.302,17.95,12
2.318,17.99,10.3
2.335,18.02,8.5
2.352,18.04,6.6
2.368,18.09,4.4
2.385,18.1,2.2
2.402,18.14,-0.1
2.418,18.17,-2.4
2.435,18.2,-4.7
2.452,18.23,-6.9
2.468,18.26,-8.9
2.485,18.27,-10.8
2.502,18.3,-12.5
2.518,18.3,-14.1
2.535,18.33,-15.4
2.552,18.33,-16.4
2.568,18.34,-17.2
2.585,18.34,-17.7
2.602,18.34,-17.8
2.618,18.34,-17.7
2.635,18.33,-17.2
2.652,18.33,-16.5
2.668,18.32,-15.5
2.685,18.32,-14.2
2.702,18.31,-12.8
2.718,18.29,-11
2.735,18.26,-9.2
2.752,18.24,-7.3
2.768,18.22,-5.1
2.785,18.2,-3
2.802,18.16,-0.8
2.818,18.14,1.5
2.835,18.1,3.6
2.852,18.07,5.6
2.868,18.05,7.7
2.885,18,9.5
2.902,17.98,11
2.918,17.94,12.3
2.935,17.94,13.5
2.952,17.93,14.4
2.968,17.91,14.9
2.985,17.91,15.1
3.002,17.93,15
3.018,17.93,14.6
3.035,17.96,13.9
3.052,17.97,12.9
3.068,17.97,11.6
3.085,18,10.1
3.102,18.01,8.4
3.118,18.07,6.6
3.135,18.07,4.6
3.152,18.11,2.4
3.168,18.13,0.3
3.185,18.16,-1.8
3.202,18.2,-4
3.218,18.23,-6
3.235,18.26,-7.9
3.252,18.29,-9.8
3.268,18.29,-11.5
3.285,18.3,-13
3.302,18.31,-14.2
3.318,18.32,-15.2
3.335,18.33,-16
3.352,18.34,-16.5
3.368,18.34,-16.7
3.385,18.33,-16.6
3.402,18.33,-16.2
3.418,18.34,-15.6
3.435,18.32,-14.7
3.452,18.33,-13.5
3.468,18.32,-12.2
3.485,18.31,-10.5
3.502,18.29,-8.8
3.518,18.27,-7
3.535,18.23,-5.1
3.552,18.23,-3
3.568,18.19,-0.8
3.585,18.16,1.1
3.602,18.15,3.2
3.618,18.11,5.1
3.635,18.08,7
3.652,18.04,8.6
3.668,18.03,10.2
3.685,17.99,11.5
3.702,18,12.6
3.718,17.99,13.5
3.735,17.97,14
3.752,17.95,14.2
3.768,17.94,14.2
3.785,17.97,13.9
3.802,17.98,13.3
3.818,18,12.4
3.835,18,11.2
3.852,18.04,9.9
3.868,18.04,8.3
3.885,18.08,6.6
3.902,18.09,4.7
3.918,18.11,2.8
3.935,18.14,0.7
3.952,18.16,-1.3
3.968,18.19,-3.3
3.985,18.22,-5.3
4.002,18.24,-7.2
4.018,18.26,-8.9
4.035,18.27,-10.5
4.052,18.29,-11.9
4.068,18.3,-13.2
4.087,18.3,-14.2
4.103,18.32,-14.9
4.12,18.32,-15.4
4.137,18.32,-15.7
4.153,18.34,-15.7
4.17,18.32,-15.4
4.187,18.32,-14.8
4.203,18.32,-14
4.22,18.31,-13
4.237,18.31,-11.7
4.253,18.29,-10.2
4.27,18.29,-8.7
4.287,18.28,-7
4.303,18.25,-5.1
4.32,18.22,-3.2
4.337,18.2,-1.3
4.353,18.18,0.6
4.37,18.16,2.6
4.387,18.14,4.5
4.403,18.12,6.3
4.42,18.08,7.8
4.437,18.05,9.4
4.453,18.03,10.6
4.47,17.99,11.7
4.487,17.99,12.5
4.503,17.98,13
4.52,17.98,13.3
4.537,17.98,13.3
4.553,17.98,13
4.57,17.99,12.6
4.587,18.02,11.7
4.603,18.01,10.7
4.62,18.02,9.4
4.637,18.05,8
4.653,18.07,6.4
4.67,18.08,4.6
4.687,18.11,2.7
4.703,18.16,0.9
4.72,18.16,-1.1
4.737,18.2,-3
4.753,18.22,-4.8
4.77,18.25,-6.6
4.787,18.26,-8.2
4.803,18.28,-9.8
4.82,18.3,-11.2
4.837,18.32,-12.3
4.853,18.32,-13.3
4.87,18.32,-14.1
4.887,18.34,-14.6
4.903,18.34,-14.9
4.92,18.34,-14.9
4.937,18.34,-14.6
4.953,18.33,-14.1
4.97,18.32,-13.4
4.987,18.33,-12.4
5.003,18.3,-11.2